,Amount_Requested,Interest_Rate,Loan_Length,Debt_To_Income_Ratio,Monthly_Income,Open_CREDIT_Lines,Revolving_CREDIT_Balance,Inquiries_in_the_Last_6_Months,ficoavg,Loan_Purpose_credit_card,Loan_Purpose_debt_consolidation,Loan_Purpose_home_improvement,Loan_Purpose_major_purchase,Loan_Purpose_medical,Loan_Purpose_moving,Loan_Purpose_other,Loan_Purpose_small_business,Loan_Purpose_wedding,Home_Ownership_OWN,Home_Ownership_RENT
Amount_Requested,1.0,0.3307795387405487,0.41267802881973586,0.08202525372973431,0.45864663969354674,0.19489359579204055,0.34275503742989605,-0.02204520036042543,0.08168391675379828,-0.009285150179020315,0.19156253897672454,0.02050114991705731,-0.11111009076810524,-0.05223900011460904,-0.0653381913947494,-0.14633279055728987,0.017778366471667,-0.024480121740558983,-0.03723913204743954,-0.13391146155717162
Interest_Rate,0.3307795387405487,1.0,0.42314741040350196,0.1730022005634215,0.03620592737577786,0.08304995413157205,0.08361057329618994,0.17040819996832865,-0.7120082403336145,-0.0014145394260852743,0.13019942666084963,-0.08866122223316152,-0.11158238442095231,-0.03727644139753958,0.012362225689079624,0.006912992479974265,-0.010026143240622263,-0.02949442451073283,-0.010484312264661538,0.0749923395169548
Loan_Length,0.41267802881973586,0.42314741040350196,1.0,0.025449943005008514,0.10445087444313926,0.043536223568174645,0.08089402434768052,0.03155300229550437,0.011663568489255375,-0.08936891682632846,0.06292308309333529,0.05131130180462107,-0.02032592989110164,-0.02287423494277926,-0.01225152882134196,-0.02865723215303898,0.03128217441624481,-0.027688742780943496,-0.03150526753847,-0.06442999878702128
Debt_To_Income_Ratio,0.08202525372973431,0.1730022005634215,0.025449943005008514,1.0,-0.16949697033603614,0.3708450847247251,0.21963626060331623,0.012432021200088217,-0.2187575667071639,0.09373526875685062,0.12675254796275728,-0.09878605878527658,-0.11214045617919245,-0.021717371121437,-0.01026575718728694,-0.04855267479648415,-0.0743764318302386,-0.02779618970181362,0.03404588695124298,-0.011685222752069829
Monthly_Income,0.45864663969354674,0.03620592737577786,0.10445087444313926,-0.16949697033603614,1.0,0.22593219951279198,0.43474879274397443,0.03893604417203748,0.11682981383074671,-0.04195204727029769,0.00822966525591679,0.09071422660138105,0.027780306734943118,-0.020079600849553694,-0.008707448593669542,-0.04079719429876726,0.00828422419970037,0.00032411476541451055,-0.07872314785777633,-0.2104310607459435
Open_CREDIT_Lines,0.19489359579204055,0.08304995413157205,0.043536223568174645,0.3708450847247251,0.22593219951279198,1.0,0.3148808453497237,0.10608558388596764,-0.09126832281611981,0.07976950170030357,0.08874527655923714,-0.031754940485752337,-0.06839018086090397,-0.03406558614112781,-0.04910640956689027,-0.08222081647690627,-0.0506638493095648,-0.02290721413168064,-0.01130610870905361,-0.15472414710537197
Revolving_CREDIT_Balance,0.34275503742989605,0.08361057329618994,0.08089402434768052,0.21963626060331623,0.43474879274397443,0.3148808453497237,1.0,-0.018271396737611516,-0.010874640928528691,0.10630401301847035,0.04959924274186537,-0.027629159158468204,-0.06891027383300846,-0.016880139580735122,-0.020276102452848485,-0.04797798049509619,-0.052767549511067886,-0.02901669230460482,-0.032363182360084994,-0.19924955699922847
Inquiries_in_the_Last_6_Months,-0.02204520036042543,0.17040819996832865,0.03155300229550437,0.012432021200088217,0.03893604417203748,0.10608558388596764,-0.018271396737611516,1.0,-0.08895622866911347,-0.045441664633045636,-0.010891305811480241,0.04584902508914848,0.0044021578938621825,0.007749243946838769,0.017325801415466434,0.026847803549924946,0.018896059634360134,-0.01857645207441824,-0.02231910505704358,-0.08214983505649678
ficoavg,0.08168391675379828,-0.7120082403336145,0.011663568489255375,-0.2187575667071639,0.11682981383074671,-0.09126832281611981,-0.010874640928528691,-0.08895622866911347,1.0,-0.0839197812191729,-0.11385406610046228,0.14506587267079274,0.11651397355033453,0.02247647769053195,-0.008763329942178271,-0.0018508362138241875,0.06755847127015213,-0.007492205413948172,0.0053978790645565445,-0.15243652026439455
Loan_Purpose_credit_card,-0.009285150179020315,-0.0014145394260852743,-0.08936891682632846,0.09373526875685062,-0.04195204727029769,0.07976950170030357,0.10630401301847035,-0.045441664633045636,-0.0839197812191729,1.0,-0.4864044077874205,-0.1182368027934188,-0.09535105284764855,-0.05121439899766764,-0.050343401548571434,-0.13740687824720813,-0.08823906452685677,-0.05850007549676762,0.009567748116824376,0.021993715391096413
Loan_Purpose_debt_consolidation,0.19156253897672454,0.13019942666084963,0.06292308309333529,0.12675254796275728,0.00822966525591679,0.08874527655923714,0.04959924274186537,-0.010891305811480241,-0.11385406610046228,-0.4864044077874205,1.0,-0.266311744588162,-0.21476481630294683,-0.11535322017234424,-0.11339142109861898,-0.30948963943453894,-0.1987460643369314,-0.13176318029592968,-0.051835535415634626,-0.0018142509234251416
Loan_Purpose_home_improvement,0.02050114991705731,-0.08866122223316152,0.05131130180462107,-0.09878605878527658,0.09071422660138105,-0.031754940485752337,-0.027629159158468204,0.04584902508914848,0.14506587267079274,-0.1182368027934188,-0.266311744588162,1.0,-0.0522057465467555,-0.02804044479601718,-0.02756356414591139,-0.07523177191359481,-0.048311854988871146,-0.03202943253526895,0.04837336677732656,-0.18368369903435577
Loan_Purpose_major_purchase,-0.11111009076810524,-0.11158238442095231,-0.02032592989110164,-0.11214045617919245,0.027780306734943118,-0.06839018086090397,-0.06891027383300846,0.0044021578938621825,0.11651397355033453,-0.09535105284764855,-0.21476481630294683,-0.0522057465467555,1.0,-0.022612975574856666,-0.022228399275462333,-0.06067001551190388,-0.03896068000299706,-0.02582986043428707,0.044330944944106124,-0.009371048159246177
Loan_Purpose_medical,-0.05223900011460904,-0.03727644139753958,-0.02287423494277926,-0.021717371121437,-0.020079600849553694,-0.03406558614112781,-0.016880139580735122,0.007749243946838769,0.02247647769053195,-0.05121439899766764,-0.11535322017234424,-0.02804044479601718,-0.022612975574856666,1.0,-0.011939187618535838,-0.03258672336409291,-0.020926332235492052,-0.013873583341018165,-0.018957454596689023,0.02394667853934344
Loan_Purpose_moving,-0.0653381913947494,0.012362225689079624,-0.01225152882134196,-0.01026575718728694,-0.008707448593669542,-0.04910640956689027,-0.020276102452848485,0.017325801415466434,-0.008763329942178271,-0.050343401548571434,-0.11339142109861898,-0.02756356414591139,-0.022228399275462333,-0.011939187618535838,1.0,-0.032032524672319616,-0.02057044048721899,-0.013637636889700577,-0.01817605601266103,0.08026874280778026
Loan_Purpose_other,-0.14633279055728987,0.006912992479974265,-0.02865723215303898,-0.04855267479648415,-0.04079719429876726,-0.08222081647690627,-0.04797798049509619,0.026847803549924946,-0.0018508362138241875,-0.13740687824720813,-0.30948963943453894,-0.07523177191359481,-0.06067001551190388,-0.03258672336409291,-0.032032524672319616,1.0,-0.0561447960323434,-0.037222457244465976,0.010411056591661683,0.04978168997780252
Loan_Purpose_small_business,0.017778366471667,-0.010026143240622263,0.03128217441624481,-0.0743764318302386,0.00828422419970037,-0.0506638493095648,-0.052767549511067886,0.018896059634360134,0.06755847127015213,-0.08823906452685677,-0.1987460643369314,-0.048311854988871146,-0.03896068000299706,-0.020926332235492052,-0.02057044048721899,-0.0561447960323434,1.0,-0.023903277976619303,-0.007723142331247816,0.004902389143991648
Loan_Purpose_wedding,-0.024480121740558983,-0.02949442451073283,-0.027688742780943496,-0.02779618970181362,0.00032411476541451055,-0.02290721413168064,-0.02901669230460482,-0.01857645207441824,-0.007492205413948172,-0.05850007549676762,-0.13176318029592968,-0.03202943253526895,-0.02582986043428707,-0.013873583341018165,-0.013637636889700577,-0.037222457244465976,-0.023903277976619303,1.0,-0.01332572986488989,0.03318361883019147
Home_Ownership_OWN,-0.03723913204743954,-0.010484312264661538,-0.03150526753847,0.03404588695124298,-0.07872314785777633,-0.01130610870905361,-0.032363182360084994,-0.02231910505704358,0.0053978790645565445,0.009567748116824376,-0.051835535415634626,0.04837336677732656,0.044330944944106124,-0.018957454596689023,-0.01817605601266103,0.010411056591661683,-0.007723142331247816,-0.01332572986488989,1.0,-0.2712901692248613
Home_Ownership_RENT,-0.13391146155717162,0.0749923395169548,-0.06442999878702128,-0.011685222752069829,-0.2104310607459435,-0.15472414710537197,-0.19924955699922847,-0.08214983505649678,-0.15243652026439455,0.021993715391096413,-0.0018142509234251416,-0.18368369903435577,-0.009371048159246177,0.02394667853934344,0.08026874280778026,0.04978168997780252,0.004902389143991648,0.03318361883019147,-0.2712901692248613,1.0
